ID,LATITUDE,LONGITUDE,STEAM_INJECTION,PRESSURE,TEMPERATURE,RECEIVEDTIME
91081200,39.4610135,-0.3799785,90.0,700.0,8.0,2023.11.28 04:15:42.0 AM
91080742,39.4607845,-0.3885023,70,650,9,2023.11.28 04:15:42.0 AM
91080719,39.4609317,-0.3717739,65,800,12,2023.11.28 04:15:42.0 AM
91080667,39.4782286,-0.3785091,50,750,15,2023.11.28 04:15:33.0 AM
37400299,39.47131,-0.39951,110,690,6,2023.11.28 04:15:33.0 AM
31228403,39.4551827,-0.3461609,210,1800,9,2023.11.28 04:15:33.0 AM
91080257,39.4771965,-0.3544818,112.8,900,8,2023.11.28 04:15:31.0 AM
83620117,39.4896916,-0.3565602,123,800,7,2023.11.28 04:15:29.0 AM
88910369,39.4780872,-0.382042,62,700,11,2023.11.28 04:15:29.0 AM
90908882,39.4736589,-0.3821975,81,850,10,2023.11.28 04:15:28.0 AM
90948396,39.4580012,-0.3383819,98,800,8,2023.11.28 04:15:27.0 AM
90949734,39.4938891,-0.3609602,180,1100,6,2023.11.28 04:15:22.0 AM
90950166,39.4894943,-0.3604856,81,750,9,2023.11.28 04:15:22.0 AM
90992064,39.4736084,-0.3504793,95,850,9,2023.11.28 04:15:22.0 AM
91006101,39.4834176,-0.3576863,97,850,9,2023.11.28 04:15:20.0 AM
91006614,39.4836771,-0.3608167,69,700,10,2023.11.28 04:15:20.0 AM
91034932,39.4761058,-0.3500356,133,900,7,2023.11.28 04:15:10.0 AM
90857958,39.4845058,-0.3573362,104,950,9,2023.11.28 04:15:10.0 AM
91078828,39.4709665,-0.3527535,120,889,7,2023.11.28 04:15:10.0 AM
91078703,39.4837895,-0.380361,90,630,7,2023.11.28 04:15:06.0 AM
91078536,39.4934243,-0.3586199,120,900,8,2023.11.28 04:15:04.0 AM
91078220,39.4899891,-0.3640602,151,1100,7,2023.11.28 04:15:02.0 AM
27686252,39.464275,-0.3852885,130,800,6,2023.11.28 04:15:02.0 AM
91078109,39.4648288,-0.3818026,130,1000,8,2023.11.28 04:15:00.0 AM
91078081,39.4704841,-0.359029,118,1200,10,2023.11.28 04:14:55.0 AM
91078074,39.4726098,-0.3478047,136,1100,8,2023.11.28 04:14:52.0 AM
91078077,39.4625617,-0.3845768,100,770,8,2023.11.28 04:14:44.0 AM
91078054,39.4631399,-0.3686445,65,650,10,2023.11.28 04:14:35.0 AM
91078068,39.4629373,-0.3629679,140,1000,7,2023.11.28 04:14:35.0 AM
91078052,39.4786193,-0.3582098,112,800,7,2023.11.28 04:14:35.0 AM
91078049,39.4617355,-0.3730691,63,750,12,2023.11.28 04:14:35.0 AM
91078066,39.4605189,-0.3765465,50,650,13,2023.11.28 04:14:34.0 AM
91078033,39.4706231,-0.3704349,70,700,10,2023.11.28 04:14:32.0 AM
91077698,39.4707212,-0.3453223,95,749,8,2023.11.28 04:14:27.0 AM
91077606,39.4605573,-0.3517065,65,700,11,2023.11.28 04:14:27.0 AM
87544945,39.4634778,-0.3649687,100,800,8,2023.11.28 04:14:25.0 AM
91077453,39.4619237,-0.3883796,70,790,11,2023.11.28 04:14:25.0 AM
91077444,39.4715447,-0.3476469,120,800,7,2023.11.28 04:14:25.0 AM
90184909,39.4863091,-0.36491,112,750,7,2023.11.28 04:14:23.0 AM
91077368,39.4727468,-0.4014152,115,615,5,2023.11.28 04:14:23.0 AM
91077345,39.4569996,-0.3404261,54,750,14,2023.11.28 04:14:14.0 AM
91077219,39.4582238,-0.3731392,55,650,12,2023.11.28 04:14:10.0 AM
90743636,39.471136,-0.3937793,100,850,9,2023.11.28 04:14:10.0 AM
90750570,39.4480816,-0.3876256,104,750,7,2023.11.28 04:14:05.0 AM
91076692,39.4873594,-0.3735665,140,900,6,2023.11.28 04:14:05.0 AM
91076517,39.4693279,-0.3517289,117,780,7,2023.11.28 04:14:05.0 AM
91076422,39.4783027,-0.3560642,200,1400,7,2023.11.28 04:14:02.0 AM
91076399,39.4729641,-0.3332718,70,700,10,2023.11.28 04:13:59.0 AM
89922421,39.4743061,-0.3858895,159,1800,11,2023.11.28 04:13:59.0 AM
89922572,39.4983449,-0.3723471,112,900,8,2023.11.28 04:13:56.0 AM
91081200,39.4610135,-0.3799785,90,700,8,2023.11.28 04:13:54.0 AM
91080742,39.4607845,-0.3885023,70,650,9,2023.11.28 04:13:54.0 AM
91080719,39.4609317,-0.3717739,65,800,12,2023.11.28 04:13:52.0 AM
91080667,39.4782286,-0.3785091,50,750,15,2023.11.28 04:13:51.0 AM
37400299,39.47131,-0.39951,110,690,6,2023.11.28 04:13:47.0 AM
31228403,39.4551827,-0.3461609,210,1800,9,2023.11.28 04:13:43.0 AM
91080257,39.4771965,-0.3544818,112.8,900,8,2023.11.28 04:13:38.0 AM
83620117,39.4896916,-0.3565602,123,800,7,2023.11.28 04:13:38.0 AM
88910369,39.4780872,-0.382042,62,700,11,2023.11.28 04:13:38.0 AM
90908882,39.4736589,-0.3821975,81,850,10,2023.11.28 04:13:38.0 AM
90948396,39.4580012,-0.3383819,98,800,8,2023.11.28 04:13:37.0 AM
90949734,39.4938891,-0.3609602,180,1100,6,2023.11.28 04:13:32.0 AM
90950166,39.4894943,-0.3604856,81,750,9,2023.11.28 04:13:32.0 AM
90992064,39.4736084,-0.3504793,95,850,9,2023.11.28 04:13:29.0 AM
91006101,39.4834176,-0.3576863,97,850,9,2023.11.28 04:13:29.0 AM
91006614,39.4836771,-0.3608167,69,700,10,2023.11.28 04:13:29.0 AM
91034932,39.4761058,-0.3500356,133,900,7,2023.11.28 04:13:22.0 AM
90857958,39.4845058,-0.3573362,104,950,9,2023.11.28 04:13:21.0 AM
91078828,39.4709665,-0.3527535,120,889,7,2023.11.28 04:13:21.0 AM
91078703,39.4837895,-0.380361,90,630,7,2023.11.28 04:13:20.0 AM
91078536,39.4934243,-0.3586199,120,900,8,2023.11.28 04:13:17.0 AM
91078220,39.4899891,-0.3640602,151,1100,7,2023.11.28 04:13:14.0 AM
27686252,39.464275,-0.3852885,130,800,6,2023.11.28 04:13:14.0 AM
91078109,39.4648288,-0.3818026,130,1000,8,2023.11.28 04:13:14.0 AM
91078081,39.4704841,-0.359029,118,1200,10,2023.11.28 04:13:14.0 AM
91078074,39.4726098,-0.3478047,136,1100,8,2023.11.28 04:13:14.0 AM
91078077,39.4625617,-0.3845768,100,770,8,2023.11.28 04:13:11.0 AM
91078054,39.4631399,-0.3686445,65,650,10,2023.11.28 04:13:10.0 AM
91078068,39.4629373,-0.3629679,140,1000,7,2023.11.28 04:13:09.0 AM
91078052,39.4786193,-0.3582098,112,800,7,2023.11.28 04:13:08.0 AM
91078049,39.4617355,-0.3730691,63,750,12,2023.11.28 04:13:08.0 AM
91078066,39.4605189,-0.3765465,50,650,13,2023.11.28 04:13:03.0 AM
91078033,39.4706231,-0.3704349,70,700,10,2023.11.28 04:13:02.0 AM
91077698,39.4707212,-0.3453223,95,749,8,2023.11.28 04:13:02.0 AM
91077606,39.4605573,-0.3517065,65,700,11,2023.11.28 04:13:02.0 AM
87544945,39.4634778,-0.3649687,100,800,8,2023.11.28 04:13:02.0 AM
91077453,39.4619237,-0.3883796,70,790,11,2023.11.28 04:13:01.0 AM
91077444,39.4715447,-0.3476469,120,800,7,2023.11.28 04:12:59.0 AM
90184909,39.4863091,-0.36491,112,750,7,2023.11.28 04:12:59.0 AM
91077368,39.4727468,-0.4014152,115,615,5,2023.11.28 04:12:59.0 AM
91077345,39.4569996,-0.3404261,54,750,14,2023.11.28 04:12:55.0 AM
91077219,39.4582238,-0.3731392,55,650,12,2023.11.28 04:12:55.0 AM
90743636,39.471136,-0.3937793,100,850,9,2023.11.28 04:12:54.0 AM
90750570,39.4480816,-0.3876256,104,750,7,2023.11.28 04:12:53.0 AM
91076692,39.4873594,-0.3735665,140,900,6,2023.11.28 04:12:52.0 AM
91076517,39.4693279,-0.3517289,117,780,7,2023.11.28 04:12:49.0 AM
91076422,39.4783027,-0.3560642,200,1400,7,2023.11.28 04:12:48.0 AM
91076399,39.4729641,-0.3332718,70,700,10,2023.11.28 04:12:48.0 AM
89922421,39.4743061,-0.3858895,159,1800,11,2023.11.28 04:12:48.0 AM
89922572,39.4983449,-0.3723471,112,900,8,2023.11.28 04:12:48.0 AM
91081200,39.4610135,-0.3799785,90,700,8,2023.11.28 04:12:47.0 AM
91080742,39.4607845,-0.3885023,70,650,9,2023.11.28 04:12:41.0 AM
91080719,39.4609317,-0.3717739,65,800,12,2023.11.28 04:12:41.0 AM
91080667,39.4782286,-0.3785091,50,750,15,2023.11.28 04:12:38.0 AM
37400299,39.47131,-0.39951,110,690,6,2023.11.28 04:12:38.0 AM
31228403,39.4551827,-0.3461609,210,1800,9,2023.11.28 04:12:35.0 AM
91080257,39.4771965,-0.3544818,112.8,900,8,2023.11.28 04:12:35.0 AM
83620117,39.4896916,-0.3565602,123,800,7,2023.11.28 04:12:35.0 AM
88910369,39.4780872,-0.382042,62,700,11,2023.11.28 04:12:34.0 AM
90908882,39.4736589,-0.3821975,81,850,10,2023.11.28 04:12:34.0 AM
90948396,39.4580012,-0.3383819,98,800,8,2023.11.28 04:12:32.0 AM
90949734,39.4938891,-0.3609602,180,1100,6,2023.11.28 04:12:31.0 AM
90950166,39.4894943,-0.3604856,81,750,9,2023.11.28 04:12:31.0 AM
90992064,39.4736084,-0.3504793,95,850,9,2023.11.28 04:12:31.0 AM
91006101,39.4834176,-0.3576863,97,850,9,2023.11.28 04:12:19.0 AM
91006614,39.4836771,-0.3608167,69,700,10,2023.11.28 04:12:19.0 AM
91034932,39.4761058,-0.3500356,133,900,7,2023.11.28 04:12:18.0 AM
90857958,39.4845058,-0.3573362,104,950,9,2023.11.28 04:12:18.0 AM
91078828,39.4709665,-0.3527535,120,889,7,2023.11.28 04:11:50.0 AM
91078703,39.4837895,-0.380361,90,630,7,2023.11.28 04:12:14.0 AM
91078536,39.4934243,-0.3586199,120,900,8,2023.11.28 04:12:14.0 AM
91078220,39.4899891,-0.3640602,151,1100,7,2023.11.28 04:12:09.0 AM
27686252,39.464275,-0.3852885,130,800,6,2023.11.28 04:12:09.0 AM
91078109,39.4648288,-0.3818026,130,1000,8,2023.11.28 04:12:06.0 AM
91078081,39.4704841,-0.359029,118,1200,10,2023.11.28 04:12:06.0 AM
91078074,39.4726098,-0.3478047,136,1100,8,2023.11.28 04:12:06.0 AM
91078077,39.4625617,-0.3845768,100,770,8,2023.11.28 04:12:06.0 AM
91078054,39.4631399,-0.3686445,65,650,10,2023.11.28 04:12:04.0 AM
91078068,39.4629373,-0.3629679,140,1000,7,2023.11.28 04:12:02.0 AM
91078052,39.4786193,-0.3582098,112,800,7,2023.11.28 04:12:02.0 AM
91078049,39.4617355,-0.3730691,63,750,12,2023.11.28 04:12:01.0 AM
91078066,39.4605189,-0.3765465,50,650,13,2023.11.28 04:12:01.0 AM
91078033,39.4706231,-0.3704349,70,700,10,2023.11.28 04:12:00.0 AM
91077698,39.4707212,-0.3453223,95,749,8,2023.11.28 04:12:00.0 AM
91077606,39.4605573,-0.3517065,65,700,11,2023.11.28 04:11:58.0 AM
87544945,39.4634778,-0.3649687,100,800,8,2023.11.28 04:11:58.0 AM
91077453,39.4619237,-0.3883796,70,790,11,2023.11.28 04:11:58.0 AM
91077444,39.4715447,-0.3476469,120,800,7,2023.11.28 04:11:56.0 AM
90184909,39.4863091,-0.36491,112,750,7,2023.11.28 04:11:56.0 AM
91077368,39.4727468,-0.4014152,115,615,5,2023.11.28 04:11:55.0 AM
91077345,39.4569996,-0.3404261,54,750,14,2023.11.28 04:11:50.0 AM
91077219,39.4582238,-0.3731392,55,650,12,2023.11.28 04:11:50.0 AM
90743636,39.471136,-0.3937793,100,850,9,2023.11.28 04:11:50.0 AM
90750570,39.4480816,-0.3876256,104,750,7,2023.11.28 04:11:50.0 AM
91076692,39.4873594,-0.3735665,140,900,6,2023.11.28 04:11:50.0 AM
91076517,39.4693279,-0.3517289,117,780,7,2023.11.28 04:11:42.0 AM
91076422,39.4783027,-0.3560642,200,1400,7,2023.11.28 04:11:38.0 AM
91076399,39.4729641,-0.3332718,70,700,10,2023.11.28 04:11:38.0 AM
89922421,39.4743061,-0.3858895,159,1800,11,2023.11.28 04:11:35.0 AM
89922572,39.4983449,-0.3723471,112,900,8,2023.11.28 04:11:32.0 AM
91081200,39.4610135,-0.3799785,90,700,8,2023.11.28 04:11:32.0 AM
91080742,39.4607845,-0.3885023,70,650,9,2023.11.28 04:11:30.0 AM
91080719,39.4609317,-0.3717739,65,800,12,2023.11.28 04:11:29.0 AM
91080667,39.4782286,-0.3785091,50,750,15,2023.11.28 04:11:29.0 AM
37400299,39.47131,-0.39951,110,690,6,2023.11.28 04:11:22.0 AM
31228403,39.4551827,-0.3461609,210,1800,9,2023.11.28 04:11:22.0 AM
91080257,39.4771965,-0.3544818,112.8,900,8,2023.11.28 04:11:22.0 AM
83620117,39.4896916,-0.3565602,123,800,7,2023.11.28 04:11:22.0 AM
